switch type
ssw018.s002.f04 SSW
fsw002.p029.f01 FSW
fsw001.p011.f01 FSW
fsw004.p028.f03 FSW
fsw004.p025.f01 FSW
fsw002.p025.f01 FSW
fsw003.p025.f03 FSW
fa003-du010.f01 FADU
fa002-uu002.f02 FAUU
fa001-du014.f01 FADU
fsw004.p028.f02 FSW
ssw027.s004.f03 SSW
fsw001.p014.f03 FSW
ssw010.s001.f04 SSW
fa004-du006.f01 FADU
fsw002.p015.f03 FSW
ssw003.s002.f01 SSW
ssw007.s002.f03 SSW
fsw004.p029.f03 FSW
ssw025.s004.f04 SSW
ssw009.s004.f03 SSW
ssw005.s001.f02 SSW
ssw020.s002.f04 SSW
fsw001.p006.f02 FSW
fa001-du005.f02 FADU
fa001-du012.f01 FADU
fsw003.p002.f02 FSW
ssw007.s002.f02 SSW
ssw013.s004.f04 SSW
fsw003.p028.f02 FSW
fsw002.p005.f04 FSW
fsw004.p020.f02 FSW
fsw003.p023.f03 FSW
ssw022.s002.f03 SSW
fa004-du005.f01 FADU
fsw004.p032.f01 FSW
fa002-uu001.f02 FAUU
fsw003.p023.f04 FSW
ssw011.s003.f04 SSW
fsw002.p023.f03 FSW
fa001-du016.f02 FADU
fa004-du009.f02 FADU
fsw004.p008.f04 FSW
fsw002.p026.f03 FSW
fa004-du013.f02 FADU
fsw004.p004.f02 FSW
fsw003.p005.f03 FSW
fsw003.p016.f01 FSW
ssw031.s004.f01 SSW
ssw032.s002.f02 SSW
ssw008.s004.f02 SSW
ssw002.s004.f03 SSW
ssw020.s003.f02 SSW
ssw031.s002.f01 SSW
fsw001.p004.f03 FSW
ssw013.s002.f04 SSW
ssw003.s003.f02 SSW
ssw026.s004.f01 SSW
fsw002.p008.f02 FSW
fsw003.p005.f02 FSW
ssw002.s001.f03 SSW
fsw002.p032.f03 FSW
fsw002.p016.f01 FSW
ssw019.s003.f04 SSW
fsw002.p008.f01 FSW
ssw029.s001.f01 SSW
fsw004.p022.f04 FSW
fsw004.p010.f03 FSW
ssw027.s003.f04 SSW
ssw002.s002.f03 SSW
ssw014.s001.f03 SSW
ssw023.s002.f01 SSW
ssw030.s002.f02 SSW
ssw005.s003.f02 SSW
ssw001.s001.f03 SSW
ssw018.s004.f03 SSW
fa001-uu003.f02 FAUU
fsw002.p019.f01 FSW
fsw001.p008.f04 FSW
ssw015.s002.f03 SSW
ssw008.s002.f04 SSW
fsw003.p016.f02 FSW
ssw017.s001.f01 SSW
ssw025.s002.f01 SSW
fsw002.p015.f01 FSW
fsw004.p017.f01 FSW
fsw002.p023.f04 FSW
fsw004.p010.f04 FSW
ssw005.s003.f01 SSW
fsw001.p005.f03 FSW
ssw029.s002.f01 SSW
fsw001.p022.f04 FSW
fsw002.p003.f04 FSW
ssw020.s004.f03 SSW
ssw009.s002.f04 SSW
fa001-du006.f02 FADU
ssw023.s003.f01 SSW
fsw004.p031.f04 FSW
ssw022.s004.f02 SSW
ssw026.s003.f03 SSW
ssw030.s003.f01 SSW
ssw003.s004.f02 SSW
fsw001.p005.f01 FSW
fsw002.p027.f02 FSW
ssw017.s003.f04 SSW
fsw001.p001.f01 FSW
fsw004.p026.f04 FSW
fsw003.p019.f02 FSW
fsw004.p017.f03 FSW
fa003-du004.f02 FADU
ssw005.s003.f04 SSW
fsw003.p028.f04 FSW
ssw026.s003.f04 SSW
ssw001.s001.f02 SSW
fsw004.p024.f02 FSW
fa003-du005.f01 FADU
fsw003.p006.f01 FSW
ssw022.s004.f01 SSW
fsw004.p008.f02 FSW
ssw031.s004.f02 SSW
ssw022.s001.f02 SSW
fsw003.p008.f01 FSW
ssw030.s002.f04 SSW
fsw004.p019.f03 FSW
fsw004.p005.f01 FSW
ssw019.s003.f02 SSW
ssw029.s001.f02 SSW
fa004-du007.f01 FADU
fsw003.p029.f03 FSW
fsw004.p024.f03 FSW
fa001-du004.f01 FADU
fa001-uu003.f01 FAUU
fa001-uu001.f02 FAUU
fsw003.p008.f04 FSW
fsw001.p002.f03 FSW
ssw019.s001.f04 SSW
fa003-du014.f02 FADU
ssw023.s001.f02 SSW
ssw023.s002.f04 SSW
ssw003.s004.f04 SSW
fsw002.p018.f01 FSW
fsw002.p014.f03 FSW
fsw004.p015.f01 FSW
rsw.f03 RSW
fsw002.p011.f03 FSW
fa004-uu002.f02 FAUU
fa004-uu001.f01 FAUU
fsw004.p008.f01 FSW
fa001-du003.f02 FADU
fa001-du010.f02 FADU
ssw020.s004.f04 SSW
ssw028.s001.f03 SSW
ssw017.s002.f02 SSW
ssw024.s002.f02 SSW
fsw001.p032.f04 FSW
ssw026.s001.f02 SSW
fsw002.p001.f02 FSW
fa002-uu004.f02 FAUU
ssw024.s001.f03 SSW
fsw001.p028.f03 FSW
ssw014.s003.f01 SSW
fsw002.p017.f01 FSW
ssw016.s002.f01 SSW
ssw020.s002.f02 SSW
ssw022.s001.f01 SSW
ssw020.s002.f03 SSW
fsw003.p011.f04 FSW
fa003-uu004.f01 FAUU
fsw002.p010.f01 FSW
fsw004.p012.f01 FSW
ssw006.s002.f01 SSW
fsw001.p003.f03 FSW
fsw003.p010.f02 FSW
ssw031.s002.f04 SSW
ssw012.s004.f03 SSW
ssw013.s001.f03 SSW
fsw004.p004.f04 FSW
fa002-du008.f02 FADU
fsw001.p026.f04 FSW
ssw015.s004.f01 SSW
ssw017.s004.f01 SSW
fsw002.p014.f01 FSW
ssw024.s002.f03 SSW
fa001-uu002.f02 FAUU
fa001-du014.f02 FADU
fa004-du016.f02 FADU
ssw013.s001.f01 SSW
ssw015.s002.f02 SSW
ssw011.s002.f01 SSW
ssw001.s004.f01 SSW
fsw001.p027.f02 FSW
fsw002.p007.f02 FSW
fsw002.p018.f02 FSW
fsw002.p022.f04 FSW
ssw006.s001.f02 SSW
ssw006.s004.f01 SSW
fsw001.p011.f04 FSW
fa001-du013.f01 FADU
fsw003.p024.f03 FSW
fa002-du015.f02 FADU
ssw006.s001.f01 SSW
ssw010.s002.f03 SSW
ssw013.s004.f03 SSW
ssw018.s004.f01 SSW
ssw001.s002.f02 SSW
fsw003.p020.f02 FSW
fsw002.p020.f03 FSW
fa003-uu003.f02 FAUU
ssw004.s004.f04 SSW
ssw005.s004.f04 SSW
fsw004.p001.f04 FSW
fa004-du002.f01 FADU
ssw028.s004.f04 SSW
ssw002.s001.f01 SSW
ssw019.s004.f01 SSW
ssw013.s002.f02 SSW
ssw007.s001.f03 SSW
fsw004.p013.f01 FSW
ssw011.s001.f03 SSW
fsw003.p007.f03 FSW
ssw023.s001.f04 SSW
fsw001.p008.f02 FSW
ssw004.s004.f01 SSW
ssw029.s002.f04 SSW
ssw010.s002.f01 SSW
fa003-du001.f02 FADU
ssw019.s001.f01 SSW
fa004-du015.f01 FADU
ssw020.s003.f01 SSW
fsw004.p011.f02 FSW
ssw018.s003.f04 SSW
fsw004.p012.f03 FSW
ssw009.s002.f01 SSW
ssw008.s002.f01 SSW
ssw018.s001.f03 SSW
fsw004.p003.f01 FSW
ssw017.s003.f02 SSW
ssw016.s004.f02 SSW
fsw002.p028.f01 FSW
fsw001.p020.f02 FSW
fsw004.p004.f03 FSW
fa002-du010.f01 FADU
fsw002.p027.f03 FSW
ssw007.s001.f02 SSW
fsw003.p013.f01 FSW
fsw002.p021.f01 FSW
ssw003.s001.f02 SSW
fa004-du005.f02 FADU
fsw001.p006.f01 FSW
ssw007.s003.f01 SSW
